capacite,effectif_total_candidats,effectif_total_candidates,effectif_total_proposition_admission,effectif_total_admis_boursiers_neo_bac, effectif_admis_meme_academie, poucentage_admis_selon_candidats
24,495,32,125,7,15,4.04040404040404040400
40,566,153,163,9,10,6.89045936395759717300
63,1782,1149,81,15,2,4.15263748597081930400
24,407,44,265,0,15,12.03931203931203931200
15,17,15,13,2,2,17.64705882352941176500
48,3140,1574,541,12,12,1.52866242038216560500
15,167,127,56,3,1,8.98203592814371257500
40,405,342,71,2,7,9.62962962962962963000
190,9397,2785,5048,16,34,2.00063850164946259400
16,204,74,35,1,5,3.43137254901960784300
30,892,433,397,2,11,2.24215246636771300400
8,35,5,23,1,1,14.28571428571428571400
24,277,154,90,2,10,7.94223826714801444000
24,206,25,76,2,12,10.19417475728155339800
40,186,153,150,4,17,16.12903225806451612900
15,97,92,26,0,5,19.58762886597938144300
40,476,346,180,4,17,9.24369747899159663900
18,59,28,31,2,2,11.86440677966101694900
18,137,67,78,1,4,4.37956204379562043800
80,369,322,367,10,29,15.44715447154471544700
15,410,58,69,2,6,1.95121951219512195100
36,118,107,75,0,10,32.20338983050847457600
15,167,8,41,1,10,6.58682634730538922200
100,279,194,162,0,4,10.39426523297491039400
122,1673,1396,264,43,68,7.23251643753735803900
33,945,623,191,2,8,3.38624338624338624300
36,573,47,91,6,4,6.28272251308900523600
25,409,275,230,6,10,8.31295843520782396100
46,1993,1316,319,6,15,2.20772704465629704000
40,1492,622,259,1,34,2.61394101876675603200
18,230,162,114,0,2,3.91304347826086956500
36,116,50,73,3,11,13.79310344827586206900
24,1134,632,130,8,14,2.02821869488536155200
25,475,365,130,2,7,5.26315789473684210500
19,125,96,79,0,3,14.40000000000000000000
32,240,169,93,2,12,12.08333333333333333300
32,131,57,73,5,6,8.39694656488549618300
35,465,245,88,17,29,6.88172043010752688200
36,563,259,335,6,15,5.50621669626998223800
40,855,332,269,1,8,5.14619883040935672500
35,322,131,188,7,24,8.38509316770186335400
32,643,269,118,5,13,5.13219284603421461900
18,166,75,69,4,9,7.22891566265060241000
104,1865,429,931,15,52,5.20107238605898123300
40,1281,636,225,11,27,2.41998438719750195200
22,395,126,86,1,8,4.55696202531645569600
25,286,155,110,2,15,9.79020979020979021000
80,687,215,383,11,22,7.13245997088791848600
18,88,74,40,7,16,19.31818181818181818200
250,5492,1072,2086,10,112,4.84340859431900946800
35,211,132,126,5,15,9.47867298578199052100
24,130,92,68,5,11,10.00000000000000000000
5,141,9,76,3,3,4.25531914893617021300
35,823,413,101,15,27,4.13122721749696233300
12,426,38,79,4,9,2.81690140845070422500
38,180,34,94,6,15,16.66666666666666666700
40,473,344,298,11,25,8.03382663847780126800
15,70,55,26,0,1,5.71428571428571428600
36,273,149,96,3,10,6.95970695970695970700
20,58,5,40,0,3,13.79310344827586206900
15,47,27,21,3,2,12.76595744680851063800
191,925,667,818,36,56,19.67567567567567567600
80,2020,562,477,21,66,3.81188118811881188100
94,1552,390,659,21,17,5.67010309278350515500
35,235,154,181,0,16,11.06382978723404255300
24,251,115,113,2,19,10.75697211155378486100
